sentence1,sentence2
"SA227-CC was a temporary model with Garrett TPE 331 - 111 motors , but only a handful of aircraft without flaps and part .",The SA227-CC was an interim model with TPE331 - 11U engines and only a handful were built .
"Anthony J. Guarnieri writes , "" Giuseppe del Gesù and Peter of Venice may have been cousins rather than brothers , and Peter of Venice may have been the son of Peter of Mantua . ""","A source ensures ; "" ... Giuseppe of the Gesu and Pietro Da Venezia could have been more cousins than brothers , also Pietro Da Venezia could have been a son of Pietro da Mantova ... "" ."
"Admonition ( warning , without punishment ) .",Reminder ( warning )
"Foster family care is classified into foster family care for adoption and for apprenticeship , and paid and non - paid foster family care .",They are ranked in Save Homes for adoption and learning purposes and payholding households .
"One of the major arguments for bike paths is that they tend to encourage cycling , and this does not seem to be the case .","One of the major arguments for bike lanes is that they tend to encourage cycling , and this does appear to be the case ."
The towns continued to send the same number of MPs to the unreformed House of Commons as they had before the merger - two for each .,The peoples continued to be represented by the same number of members of Parliament than before their merger : two for each one .
"About 1680 , other noble women also began to prove public without being closed , and women eventually played a greater role in public and social contexts .","Still , by the end of the 1670s and 1680s , women began to appear unveiled in public and women began to play a greater role in the social functions of state ."
Reiterates that continuing acquisition of weapons would be contrary to paragraph 12 of resolution 976 ( 1995 ) of 8 February 1995 and would undermine confidence in the peace process ;,"Reiterates that the fact of continuing to acquire arms would contravenery paragraph 12 of resolution 976 ( 1995 ) of February 8 , 1995 , and would result in disappointment of trust in the peace process ;"
"Persons between the ages of 18 and 21 were permitted to manage their own property , with the exception of immovable property , and engage in commercial activities .","People aged 18 to 21 are allowed to administer their goods , except for real estate , and dedicate themselves to commercial activities ."
"10.3 The Committee notes that the first trial against the authors ended on July 29 , 1993 without a unanimous verdict of the jury and which was ordered a new trial .",10.3 The Committee notes that the first trial against the authors ended on 29 July 1983 with a hung jury and that a retrial was ordered .
It has also been suggested that non - governmental organizations establish information networks in collaboration with the representative of the Secretary General and that regional information exchange networks are created .,It has also been suggested that NGOs should establish information networks in collaboration with the representative and that regional information exchange networks should be created .
"24:24 Verily , those who backscups virtuous believers , who do not know anything evil , are cursed in this world and in the coming , and they will get a great penalty .","24:23 Surely those who slander married women , who are heedless and believing , are accursed in this world and the next , and they shall have a terrible punishment ;"
You use the above knowledge and skill to track down the real cause of the positive or non - optimal situation .,One uses the above knowledge and skill to track down the real reason for the positive or nonoptimum situation .
"The comments made around the International Convention on the Elimination of All Forms of Racial Discrimination are also applicable to this Convention , but we must not forget the situation of vulnerability mentioned above .","The observations concerning the International Convention on the Elimination of All Forms of Racial Discrimination are valid for this Convention also , but the situation of vulnerability mentioned above must be kept in mind ."
The How - To Geek Guide to Windows 8 will help the reader have that up and running in no time .,How - to Geek Guide to Windows 8 will help the reader to have it up and at once .
"The economic self - denial ( that is , defense spending ) and the human sacrifices ( casualties even among professional soldiers ) required in the effort are uncongenial to democratic instincts .","The economic self - denial ( that is , defense expenses ) and the human victims ( loss even among professional soldiers ) required in the experiment , fits poorly with democratic instincts ."
""" It was my grandmother and not me you hit death ! » Said Little Klaus .",""" It was grandmother you killed instead of me , "" said Little Claus ."
"The Suez Canal allows ships to navigate between the Mediterranean Sea and the Indian Ocean , preventing the need to transport goods around the southern tip of the African continent between Europe and Asia .","The Suez Canal allows ships to navigate between the Mediterranean and the Indian Ocean , obstructing the need to transport goods around the southern tip of the African continent between Europe and Asia ."
"I say “ no ” directly to people who turn clear days into storms , and I say “ yes ” to my life , my desires , and of course , my dignity .","I say & quot;no&quot ; to those who make my quiet days a # storm and I say & quot;yes&quot ; to my life , my # wishes and my # dignity . # Feelings"
"When the situation becomes more complicated , this ordinary procedure can become impossibly difficult , with equations spanning multiple lines .","When the situation becomes more complicated , this ordinary procedure can become incredibly difficult , with equations covering several lines ."
""" When one observes that the great idealism of the Government of India in international affairs is completely collapsed in the case of Kashmir , it is difficult not to feel despair . """,""" When one observes that the high idealism of the Indian Government in international matters breaks down completely with the question of Kashmir , it is difficult to avoid a feeling of despair "" ."
"Is not Adam 's sin our ,",Do we bear the guilt of Adam ’s sin ?
"- The lies that have been spread , such as Sir Ian Blair 's statements , are clearly untrue .","The lies that appear to have been put out , like the statement from Sir Ian Blair , for instance , are clearly wrong ."
Thomas wakes up in a lift and ca n't remember anything other than his first name .,Thomas wakes up in an elevator remembering nothing but his first name .
"It 's about the overall feeling and the weight of chip ( normally 11.5 g ) , a good quality set of chips just feels "" not true "" .","We are talking about the overall feel and weight of the chip ( usually 11.5 g ) , a set of high - quality chips seems to be “ correct ” ."
"Now , Monday , it rained no more , but the temperature was closer to the normal for St. Patrick than Memorial Day .","Now , on Monday , the rain had stopped , but the temperature felt closer to St. Patrick ’s than to Memorial Day ."
Why ca n't we be trendsetters ?,Why are we not the trendsetters ?
"As a reward for these non - combat campaigns , Stalin promoted Vatutin to the rank of Lieutenant General and appointed him to the critical post of Chief of the Operational Directorate of the General Staff .","As a reward for their campaigns , Stalin promoted Vatutin to General Lieutenant and appointed him chief of the operational directory of the staff ."
The result of the census will be used to define the necessary reforms and facilitate trials without delay and guarantee the due implementation of the law in the case of unjustifiably detained persons .,The results of the census will be used to define necessary reforms and to facilitate speedy trials and due process of law in the case of wrongfully detained individuals .
He is thus the only Doctor to have died at the ( unwitting ) hand of one of his own companions .,"So , it is the only doctor who has died ( by mistake ) at the hands of one of his own companions ."
"There were no injuries . On May 20 , 2010 , a pomegranate exploded in front of the cathedral at 9:30 in the afternoon .",On 20 May 2010 a grenade exploded in front of the cathedral at 9:30 in the evening .
Those not ransomed were sold as slaves .,The few survivors were sold as slaves .
"The album debuted in the # 35 position on the lists of Aria , doing Thy Art is Murder is the first Deathcore band that never to break into the Top 40 .","The album debuted at # 35 on the ARIA Charts , making Thy Art Is Murder the first extreme metal band to ever to break the top 40 ."
It subordinates everyone to a time economy and work ethic that sees free time as a threat to human prosperity rather than a form in which it can be realized .,"Its effect is to subordinate everyone to a time regime and a work ethic that sees leisure as a threat to human prosperity , rather than a way in which it can be realized ."
"The EIB also provides countries that do not belong to the European Union : 7 African , Caribbean and Pacific States , 12 countries of the Mediterranean and 10 Eastern Europe , respectively .","EIB also lends funds to countries outside the European Union : 70 African , Caribbean and Pacific States ; 12 Mediterranean countries and 10 Eastern European countries , respectively ."
"On January 25 , 2014 , EXA managed to recover the audio portion of the NE-01 Pegasus signal through Cubesat Nee-02 Krysaor . Ecuadorian nanosatellite did not collide with waste but it is unknown state .","On 25 January 2014 , EXA recovered the audio segment of the Pegaso signal during the first public transmission from NEE-02 Krysaor , verifying that Pegaso had survived its collision with the Tsyklon debris and was operating ."
"Within the research , it is still unresolved whether it exists or has existed a "" Nordic model "" .","Within research there is still unclear whether it exists or has existed a "" Nordic model "" ."
"Childersofing and abortion were practiced and accepted as a defakto good in everyday life , - the necessary fulfillment of their ruleless sexual immorality .",Child sacrifice and abortion were practiced and were accepted as facts of everyday life – the necessary consummation of their rampant sexual immorality .
"On December 14 , 2000 , after three years of research , the NTSC of Indonesia issued its final report , concluding that there was no sufficient evidence to establish the cause of the accident .","On 14 December 2000 , after three years of investigation , the Indonesian NTSC issued its final report ."
"While the White Temple represents heaven , the Black House — often incorrectly referred to as the "" Black Temple "" — represents hell .","While white temple represents the sky , Black House - often mistakenly referred to as "" Black Temple "" - represents hell ."
"Reiza implores the Emir to pardon Huon , but as she had scorned his advances , the Emir refuses and orders the two to be burned together .","Reiza begs Emir that he forges Huon , but she has despised her progress , the emir rejects it and orders the two together ."
1992 - riots in Los Angeles after the acquittal of policemen who were charged with unnecessary brutality after knocking up Rodney King .,"1992 – Riots in Los Angeles , following the acquittal of police officers charged with excessive force in the beating of Rodney King ."
"At the level of the family , demographic trends have kept the world 's investment in its children - especially girls - unacceptably low .","As regards the family , demographic trends have made the world community invest in their minors , especially in girls , an amount of resources scandalously low ."
"It is landlocked and borders the counties of Dorset , Somerset , Hampshire , Gloucestershire , Oxfordshire and Berkshire .","It is located in the region southwestern England , and bordering Hampshire , Dorset , Somerset , Gloucestershire , Oxfordshire and Berkshire ."
"While some rare works are available with complete parts and a score in usable condition , others require extensive restoration and even creation to render them performable .","Although , some rare works are available with all full parts and a score under conditions of use , others require restoration and even creation so that they can be touched ."
Shu was not merely a nation at war .,Shu was more than a warrior state .
One of the first things that happens to people who distance themselves from God is that they are people who do not smile .,Some of the first thing that happens to people who remove from God is that they lose the smile .
"The process is simple , reliable and totally unbiased , because the filtering process is mostly controlled by the player .","The process is simple , reliable and completely objective , because the filtering process is largely controlled by the player ."
Later evidence would prove the contrary .,The story would demonstrate otherwise .
"The Prussian landed elites , the Junkers , retained a substantial share of political power in the unified state .","The Prussian real estate , the Junkers , continued to have a significant part of political power in the United State ."
"If the eliminator is not destroyed after a pre - established time , the center activates a drone that flew away from the eliminator to knock down the player with a destructive burst of energy .",Failure to destroy the Eliminator after a preset time causes the center to activate a drone that flies out of the Eliminator to shoot down the player with a destructive energy blast .
The place of sikem in the patristic sources is almost immutable identified with or located close to the city of Nablus .,"The site of Shechem in patristic sources is almost invariably identified with , or located close to , the town of Flavia Neapolis ( Nablus ) ."
Getting tilt extensions should be a completely painless experience .,Acquiring lash extensions ought to be a wholly pain - free experience .
You have to give up if you could not take care of developing an excellent hand by the time you get the other up card .,You must surrender if you fail to deal with to develop an excellent hands by the time you happen to be dealt the second up card .
We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall & also change the ridiculous immigration laws that our Country is saddled with,- We will be forced to close the southern border completely unless the obstructionist democrats give us money to complete the wall and also change the ridiculous immigration laws that our country is covered .
""" Formal and material means of proper functioning of oversight bodies are indispensable .",Both the regulatory means and the material means necessary for the proper functioning of the supervisory bodies are of great importance .
"Given long - standing traditions , such societies will inevitably resist decarbonisation unless they receive adequate assurances about their economic and social survival .","Despite tradition , such societies must eventually survive decarbonization unless they are convinced of their financial and social survival ."
But the new phase of hedonistic capitalism offered the greatest opportunities for intellectuals in manipulating the masses rather than educating them .,"However , the new phase of hedonistic capitalism offered the greatest opportunities for intellectual to manipulate the masses instead of educating them . """
"As President and as Commander - in - Chief , I take full responsibility for all our counterterrorism operations , including the one that inadvertently took the lives of Warren and Giovanni .","- As President , I take it all and full responsibility for all our anti - terror operations , including the attack that killed Warren and Giovanni ."
"In addition to incredible vantage points , the Heights of Abraham includes two caves to visit and an exhibition of ancient fossils .","In addition to nice viewpoints , the Heights of Abraham includes two caves that can be visited and an exhibition of ancient fossils ."
"Although the answer is likely to be some of each , I usually feel that we unconsciously choose home because they have something to teach us .","Although the answer is probably some of each , I generally feel that we subconsciously choose homes because they have something to teach us ."
"Shaw asks David about his freedom after Weyland 's eventual demise , to which he ominously asks about every child 's dream of having their parents dead .","Shaw asks David about his freedom after the eventual disappearance of Weyland , to which he probably asks about the dream of each child to have his dead parents ."
"He is the Water of Life , Who springs up in us unto Everlasting Life .","And where there is liquid water , it can be life ( as we know it ) ."
But make sure you do not make designs or designs that are so different that they become too expensive to prepare or send .,But beware of creating shapes or designs that are so different they are too expensive to create or mail .
"These are the main consequences of the violations of the worker 's rights , without ceasing to consider that other less serious consequences may occur .","These are the main consequences of violations of the right to work , though other less serious consequences can derive from them also ."
How do you keep all these clients connected while the younger users do not get trouble ?,How do you keep all these clients connected while keeping younger users out of trouble ? .
"All portfolios have so far been evaluated in terms of risk values only , and it is also possible to include values without risk in a portfolio .","All portfolios so far have been evaluated in terms of risky securities only , and it is possible to include risk - free securities in a portfolio as well ."
"The non - partisan Congressional Budget Office estimated that the bill would raise the wages of 16.5 million Americans and lift 900,000 of them out of poverty .","The Congressional Budget Office has estimated that the proposal will increase wages for 16.5 million Americans and lift 900,000 people out of poverty ."
"This has hampered the elaboration of a longer - term program for all the decade , not to say for later .","This has hampered longer - term programme development for the duration of the Decade , let alone beyond ."
"It is internationally known as a coach in non - violence and direct action , and as an activist in the pacifist movement .","She also works internationally as a trainer in nonviolence and direct action , and as an activist within the peace movement , women 's movement , environmental movement , and anti - globalization movement ."
It is meek and unaffected by what is happening around it .,She is very naive and ignorant of what is happening around her .
"This may not necessary be the "" bad "" ending .","The first end that can be obtained is the end "" bad "" ."
"b ) Lack of judicial authorization and supervision of the forced evictions of the occupied land , carried out in many cases without prior notice of the authorities , as required by law ;","( b ) Lack of court authorization and supervision of forcible evictions from land , often performed with little advanced legal notice by the authorities ;"
It ’s better not to give them money .,"( "" It 's better to let them give them money ."
"On 2 September 1192 Richard and Saladin finalized the Treaty of Jaffa , which granted Muslim control over Jerusalem but allowed unarmed Christian pilgrims and merchants to visit the city .","September 2 , 1192 , Saladin and Richard entered into an agreement that meant that Jerusalem would still be under Muslim control , while Christians pilgrims would still visit the city ."
"Ultimately , many of the left - wing revolutionaries hoped this constitution would establish universal male suffrage , a permanent national parliament , and a unified Germany , possibly under the leadership of the Prussian king .","Ultimately , many left - handed revolutionaries hope that this constitution would establish universal male voting rights , a permanent national parliament , and a united Germany , possibly under the leadership of the Prussian Kong ."
Most of them who at that time decided no longer decide .,But in most of them [ remakes ] it does n’t .
"PETER 1 : 14 - 16 ) When an offender who does not regret , is removed from the congregation , God 's norms are maintained , and the spiritual purity of the church is preserved .","1 Peter 4:18 And if the righteous scarcely be saved , where shall the ungodly and the transgressor of God ’s Law appear ?"
"Although it is usually considered by historical interest , sometimes together with the suggestions of intrinsic red run , it is used by unconventional cosmologies .","While usually considered for historical interests , it is sometimes , along with intrinsic redshift suggestions , utilized by nonstandard cosmologies ."
You pass the level when you find the seven differences and lose you when you do not find the seven differences within two minutes .,You pass level when you find the seven differences and you lose when you don´t find the seven differences during two minutes .
"Accordingly , a cognitive bias had been introduced unwittingly into science , by over - trusting the individual doctor or scientist 's ability to see and state things objectively .","In the same way , a prejudice or cognitive bias was introduced in science , by granting total confidence to the capacity of the individual scientist to see and represent things objectively ."
The work describes how an utterly ordinary and worthless object becomes endowed with great significance as it occasions contact between two people who must remain enemies .,The work describes how a common and current object becomes something with great significance when it causes the contact of two people who should remain enemies .
"The draft resolution A / C.6 / 48 / L.8 is approved , without a vote .",Draft resolution A / C.6/48 / L.8 was adopted .
"I rarely ask for help , even when I need it .","It 's rare I 'm asking for help , even though I need it ."
Lower life satisfaction when unemployed .,Descending efficiency before to lower living standards .
We want job seekers from the EU to have a job offer before they come here and prevent British taxpayers to support them financially if they do not .,“ We want EU jobseekers to have a job offer before they come here and to stop UK taxpayers having to support them if they do n’t .
"Obama ’s reference to the “ the DNC emails that were leaked ” appears very natural , fluent and unforced .","Obama 's reference to the "" e - mails from DMC , which was leaked "" was made very natural , liquid and diligent ."
"At the international level the accent , which was accurately placed on ensuring a favourable , growth - oriented international economic context , is in keeping with the unchanging position of our Group .","At the international level , the need to guarantee a propitious international economic context was strongly emphasized and aimed at a constant position of our group ."
"We show you the best cultural sights , bars , restaurants and clubs , and show you the locals ' view of the city that most tourists do not get .","We ’ll take you to the best cultural sites , bars , restaurants and clubs and show you the locals ’ perspective on the city that most tourists miss ."
"But some of the men had not respected Athena 's temple , and this did anger gods and caused storms to drive them of course to the island of Lotus eaters .","However , some of the men had disrespected Athena ’s temple and this angered the gods , causing storms to drive them off course to the Island of the Lotus Eaters ."
"Regardless of your choice , the key to relieving environmental angst is planning to reuse or recycle your tree .","No matter what choice you choose , the key to relieving environmental hazard planned to reuse or recycle your tree ."
"Then it becomes evident that a Soviet counterattack is imminent , the soldiers then come into panic without knowing what to do .","After it becomes clear that a Soviet counterstrike is imminent , the airmen panic ."
Emphasis should be placed upon family - based and community - based rehabilitation rather than state institutionalization .,Priority has to be given to family - based rehabilitation and the community instead of resorting to care in state institutions .
"a The studies of "" lessons learned "" of DOMP are not included .",a/ Excludes DPKO lessons - learned studies .
Such a large number of issues are related to land that it has been impossible to do more than touch on some of the more relevant items in this short report .,The number of issues related to land is so great that in this short report has only been referenced to some of the most important issues .
There is not enough evidence to assert what conditions gave rise to the first cities .,It is difficult to determine which conditions were crucial for the first cities to arise .
"The world news reported had 34 attempts to score Leicester and Banks was responsible for not having a goal , showing an extraordinary quality when defending the goal of his club .","The News of the World reported that Liverpool had had 34 attempts on goal to Leicester 's one , and Banks later stated that it was his finest performance at club level ."
"Pictures of atrocities make their way to the United States , causing further unrest and protests[25 ] .","Pictures of the actions come to America , leading to more protests and rebellions [ 25 ] ."
"Subsequently , the number of refugees who wish to be repatriated to Rwanda has increased without ceasing .","After the coup in Burundi , the number of refugees wishing to repatriate to Rwanda has risen steadily ."
She has no makeup and is wearing a rope and a giant polar fur from the British Museum .,She is wearing a tau and a gigantic polarp part of the British Museum .
"They treat in a non - linear way , they usually use several narrative perspectives or voices and have a large number of neologisms ( coins of new words or phrases ) , word games and even blasphemies .","They treat time as nonlinear , often use more than one perspective or narrative voice and feature a great number of neologisms ( the coining of new words or phrases ) , puns and even profanities ."
"From May , in all the emotions , forgets to close the last group of his star , but simply as if it were little , although she never reveals her desires .","May , in all the excitement , forgets to close the last panel of her novelty , but simply brushes it off ."
There are a few things about Bitcoin that makes governments and regulatory authorities uneasy .,There are some things at Bitcoin who make the authorities and supervisory authorities skeptical .
Free choice of doctor and hospital do not appear until well down on the list of what people regard as important quality factors .,Free choice of doctor and hospitals comes first far down on the list of what people consider to be important for quality in health care .
The poverty of the human language is insufficient to explain things beyond human comprehension . ”,Poverty of human speech incompetent to define what transcends human intelligence . ”
"I would like to end this essay with another sista from Rav Kook ( Raiah ) : "" Any unrest in the world comes only for Israel .",I ’d like to conclude this essay with another quote from Rav Kook ( the Raiah ) : “ Any turmoil in the world comes only for Israel .
"Some non - prohibited parents are given virtual visits , giving them the right to video chat or video conferencing with their children .","Some noncustodial parents are being awarded virtual visitation , entitling them to video chats or video conferencing with their children ."
The methods used to disperse these agents during battle were relatively unrefined and inefficient .,The methods of dispersion of these agents during combat were relatively rare and inefficient .
But not worse than Jimmy Carter .,Even worse than Jimmy Carter .
"Even in peacetime , the military profession is not harmless .","Even during peacetime , military training itself is dangerous ."
I leave it until the soil feels dry ( not too dry ) water it so well and set it so that the water runs off . ( But I do not dive it ! ) Good luck !,I am like the earth which drinks in the rain that comes oft upon it : I bring forth a precious harvest and receive blessing from God .
With the support of the brothers and my dear wife​—who never wavered spiritually—​I gradually regained my spiritual strength .,With the support of the brothers and my dear wife - who had always been steady in the truth - I was gradually spiritually strong again .
And sworn to flght in no command beside . ',"1.No , verily , I swear by this city ,"
"Data cleanliness differs from data validation , which almost always fulfills the function of rejecting erroneous records during the entry to the system and not in battles .","Data cleaning differs from data validation in that validation almost invariably means data is rejected from the system at entry and is performed at the time of entry , rather than on batches of data ."
"No , prayer is conversation with God .",A prayer is a conversation with God .
Can we not at least admit that it is possible that 26 innocent lives could have been saved that day ? in LaPierre .,“ Will you at least admit it ’s possible that 26 innocent lives might have been spared ? ”
"But these would not suffice , much less , to deal with the enormous needs of developing countries and , in particular , from the least developed countries .","Such economies , however , would hardly suffice to meet the enormous needs of developing countries , particularly the least developed countries ."
President Ronald Reagan announced the formally establishment of NCAVC on 21 June 1984 . ^ ^ The article has no properties for official links in Wikidataa,President Ronald Reagan formally announced the establishment of NCAVC on 21 June 1984 .
"However , Osman pulled out his sword and killed Dundar for disobeying . .","Even so , Osman pulled out his sword and murdered to crowd for rebel ."
"Convention for the Suppression of Unlawful Seizure of Aircraft , signed at The Hague on 16 December 1970 . 34","Agreement for the repression of the illicit agentization of aircraft , signed in The Hague , on December 16 , 1970"
"The competition calls on professionals and non - professionals in 48 European countries to design a newspaper advertisement , using the competition logo , which inspires the European public in a positive way .","The competition encourages both professionals and everyone else in 48 European countries to design a newspaper ad with the Competition 's logo , which inspires the European population ."
"However , assIs of these with the goddess are questionable or uncertain as place names are easily explained as references to a "" high castle "" or "" high place "" in the literal meaning .","Association of these with the goddess is however dubious , since the placenames are easily explained as referring to a "" high fort "" or "" high place "" in the literal sense ."
"Sebastián warns you of the struggles of human life , and at the same time , exposes the advantages of a life without worries underwater .",Sebastian warns of the struggles of human life while at the same time expounding the benefits of a care - free life underwater .
"In May 1976 , Natasha Shneider , her husband Kapustin , and her brother Vladimir defected to the West , arriving in New York City without finances or connections .","In May 1976 , Natasha Shneider , her husband Kapustin , and his brother Vladimir fled to the West and traveled to New York , playing at night concerts around the city ."
"His marriage was not happy and rumors circulated that once , with 25 years old , he had fallen in love with Eugênia José de Menezes , his wife 's company 's lady .","Rumors circulated that at the age of 25 he fell in love with Eugênia José de Menezes , his wife 's chaperone ."
My Deputy Special Representative is approaching the Algerian authorities to secure clearance to fly over their territory and seek permission for landing and take - off during non - daylight hours .,My Deputy Special Representative is performing efforts to the Algerian authorities in order to obtain authorization so that aircraft can fly over their territory and take off and land at night .
Penal law has also been enacted to enforce non - compliance on these issues .,"Likewise , criminal laws have been enacted that apply to those who fail to comply with the above ."
Walden starts dating Rose regardless of Alan 's warnings against it .,"Walden begins to date Rose , in spite of Alan 's warnings ."
The main cause of the precariousness of the financial situation resides in that the Member States do not pay their full and promptly installments .,The major cause of the precarious financial situation was the failure of Member States to pay their contributions in full and on time .
"Therefore , it constitutes a disappointment that the Vienna Conference not to progress in that regard .",I am therefore disappointed the Vienna conference failed to make progress on this issue .
"People say to each other : Indra does not exist , who has seen him , who is what we are going to praise ? »",The goddesses say : “ May thou cause that we can see her .
"The Hudson crew accomplished many aggressive and unexpected turns , engaging the Japanese pilots in a dogfight for more than 10 minutes .","Hudson 's crew performed multiple sudden and aggressive turns , maintaining a closed combat with Japanese pilots for more than 10 minutes ."
When Marx and Engels came into contact with the socialist and communist groups they started trying to convince the followers of the utopian socialist theories of the incorrectness of their ideas .,"When Marx and Engels came into contact with the socialist and communist groups , they began to work to convince the followers of the utopian socialist theories of the errors in their ideas ."
Not one hour was spent for this wonderful game .,More than one hour was spent for this amazing game .
"Also , people who are not invited can be reminded of something from God .",Even people who are living in sin CAN get some answers from God .
One of the major issues in college - level chemistry students apply the difference between polar and non - polar bindings .,One of the major questions college - level chemistry students have pertains to the difference between polar and nonpolar bonds .
"I have been shown that unbelief in the testimonies of warning , encouragement , and reproof , is shutting away the light from God 's people .","It has been shown that doubts to the testimony that comes with warning , encouragement and rebuke , closes the light out from God 's people ."
We do not believe in the message you are sent,We believe in what has been sent down to you ;
"After Graham Taylor took over as national team manager after the World Cup , he did not receive several countries for England .",Graham Taylor resigned as England manager after their failure to qualify for the World Cup .
"Diana also warns Orana that she does not come to ask for help . Orana boasts that she can handle any threat , including the terrorist known as Warhead .",Orana confidently boasts that she can handle any threat even the terrorist known as Warhead .
"“ Wherever the standard of freedom and Independence has been or shall be unfurled , there will [ America ’s ] heart , her benedictions and her prayers be .","& quot;WHEREVER freedom and independence have unfolded or will unfold , there will be the heart of America , her blessings and her prayers ."
22 ) Member States may determine that trade union representatives can become members in a special negotiation body without regard to whether they are employees in a legal entity participating in the establishment of a SCE enterprise .,( 22 ) Member States may provide that representatives of trade unions may be members of a special negotiating body regardless of whether they are employees of an entity participating in the establishment of an SCE .
"Because the algorithm is known , it is no longer a trade secret .","Due to the knowledge of the algorithm , it ceased to be a registered secret ."
"In her leading judgment , Beinisch wrote that there is no doubt that the administrative detention of an “ unlawful combatant ” significantly violates the right to personal liberty .","In its main judgment , Beinisch wrote that the administrative detention of an "" illegal combatant "" significantly violates his right to personal freedom ."
"She was unfaithful to him just like a dog , and she will do it again - just wait and see .",She cheated on him like a dog & will do it again … just watch .
Do not forget to lock the computer when you intend to leave it for a while .,Remember to lock the machine if you are going to leave it for a short while .
"Nevertheless , investors have not lost faith .","But , investors have lost faith ."
They were later flown to an undisclosed destination .,He was later transferred to open atonement .
"The Bell of Huesca is a legend describing how Ramiro II of Aragon , the Monk , cut off the heads of twelve nobles who did not obey him .","The legend of the Huesca bell tells how Ramiro II the Monk , king of Aragon , decapitated twelve nobles who opposed his will ."
"During World War II , all the great powers had significant stocks of chemical weapons , but it has not been confirmed that they were used .","During the Second World War all sides possessed large stockpiles of chemical weapons , but refrained from using them ."
She 'll say no it 's just the rain .,"She will say & quot;no , it&#39;s just raining&quot ; ."
"They did not succeed , and as a result , Henry was replaced in the 1965 elections for his sister , Margarita Story .","They were unsuccessful , and as a result Henry was replaced at the 1965 elections by his sister , Marguerite Story ."
"If that information was based on the allegations made by the Special Rapporteur , then it was totally invalid .","If it is the affirmations of the Special Rapporteur , they lack all validity ."
"Having decided to make repairs , we have long and meticulously selected materials , styles and textures , trying to make our home as comfortable as possible and respond to our tastes .","Having decided to make repairs , we have long and carefully selected materials , styles and textures , and try to make our home as comfortable as possible and respond to our taste ."
"With this unscientific theory it is intended to maintain and "" justify "" women 's subordination .","With this pseudo - theory it is intended to maintain and "" justify "" the submission of women"
"No matter what , always remember : growing means changing and developing .","Whatever , always remember : to grow means change and to develop ."
"This apparently turns out of a central non - trivial load , and the Witt algebra is modified to be Virasoro algebra .","This results in the appearance of a nontrivial central charge , and the Witt algebra is extended to the Virasoro algebra ."
Julio Adalberto Rivera Carballo of the Party of National Conciliation was the sole candidate and was elected unopposed .,Julio Adalberto Rivera Carballo Del PCN was the only candidate and was elected with 100 % of the votes .
I did n't come any further than to finish school until I realized I really preferred the earth and that I loved writing more than science - actually . More than anything else .,"I made it all the way to graduate school before realizing that I really preferred Earth , and also , that I loved writing more than science — more than anything , in fact ."
"In a Crater Lake in the prefecture 's southwest corner , not far from the seaside resort of Ibusuki , there is a rare great .","A crater lake in the southwestern tip of the prefecture , near the spa town of Ibusuki , is home to a rare species of giant eel ."
But his manipulative abilities penetrate all his relationship - even his wife and son know that they are not able to trust him .,His manipulative ways permeate all of his relationships – even his wife and son know they ca nt trust him .
"In addition , many say that it is easier to say something negative or hurtful when you are not face - to - face , but hidden behind a web profile or text message .","In addition , many say that it is easier to say something negative or hurtful when you are hidden behind a web profile or text message ."
Le Pen is not a new phenomenon in French politics .,But Le Pen is hardly a new face in French politics .
"A non - relativistic example is the BCS theory on large length scales with the integrated phonones so that the force between two dressed electrons is approximate by a "" contact period "" .",A nonrelativistic example is the BCS theory at large length scales with the phonons integrated out so that the force between two dressed electrons is approximated by a contact term .
"Generally speaking , in fact , the international organizations have indeed maintained a piecemeal , and sometimes partial , approach to human rights inasmuch as those rights are sometimes realized selectively .","In general , international organizations have continued to apply a fragmentary and sometimes partial human rights approach to the extent that they are often promoted selectively ."
"In the Sudan the number of displaced persons has not ceased to increase in 1995 , while that of refugees in Uganda , Kenya and Ethiopia has increased a lot .","In Sudan , the number of displaced persons had increased constantly in 1995 , while the number of refugees in Uganda , Kenya and Ethiopia had also risen sharply ."
Yet esteem for the unbeliever is unbelief .,And notice that it is UNBELIEF that is sin .
A new and burgeoning field of migration research seeks to unravel the genetic architecture of migration .,A new and budding field of migration research aims to find out the genetic architecture of migration .
"How much more do n't they have to be clean today ? "" 6 Then the priest gave him married bread .",How much more they are today ! ” 6 So the religious leader gave him holy bread .
This delay period is a second opportunity for incorrectly charged aa - tRNAs to move out of the A - site before the incorrect amino acid is irreversibly added to the polypeptide chain .,This delay period adds a second chance for an incorrectly paired TRNA from Site A before an incorrect amino acid is incorporated into the polypeptide chain .
"Learning to control which parts of the image you want to focus on , and which parts you do not want to focus on , is one of the most important tools you have for creating ...","Learning to manage what part of the image you want to be in focus , and which parts you want out of focus , is one of the most important tools you have to create great images ."
"Mukim Bangar , despite not having a coast , has an island called Pulau Kibi .",Mukim Bangar has one island within its vicinity which is Pulau Kibi .
"The report is criticized , the fact that Israel does not apply the Convention , which seems to imply that such application must be made as a rule in cases of occupation .",The report 's criticism of Israel for failing to apply the Convention de jure would seem to imply that such application is the norm in cases of occupation .
That has been a lot of fun and I have endless amounts of memories from the 143 with AEG competitions there altogether .,"It was great fun , and I have a lot of memories from those together 143 days with competitions under AEG ."
