original_sentence,paraphrased_sentence,perturb_n1,perturb_n2,perturb_n3
"That 's the highest third-quarter growth rate we 've seen in over 25 years , "" said Andy Bryant , Intel 's chief financial officer .","That 's the highest third-quarter growth rate we 've seen in over 25 years , "" CFO Andy Bryant told the Associated Press .","That 's the highest third-quarter growth rate we 've seen in over 25 years , "" said Andy Bryant , Intel 's chief . officer financial","'s That the highest third-quarter growth rate we 've seen in over 25 years , Andy said "" Bryant , Intel 's chief financial officer .","That 's the highest officer growth rate we 've seen years 's 25 in , "" said Andy Bryant , Intel over chief financial third-quarter ."
"Seattle Deputy Police Chief Clark Kimerer said the exercise here went well , with some aspects , including the communication system linking various agencies , working better than expected .","Police Deputy Chief Clark Kimerer said the exercise went well , with some aspects , including the communication system between varying agencies , working better than expected .","Seattle Deputy Police Chief Clark Kimerer said the exercise here with well , went some aspects , including the communication system linking various agencies , working better than expected .","Seattle Deputy Police Chief Clark Kimerer said the exercise here went well , with some aspects , including the communication system linking various agencies , working better than expected .","Seattle than Police Chief the Kimerer said the exercise here went well , with some aspects , including Clark communication system linking various . , working better Deputy expected agencies"
Telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U.S. bribery laws in its operations in Saudi Arabia .,Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia .,Telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of in bribery laws U.S. its operations in Saudi Arabia .,Telecommunications gear Lucent maker Technologies is being investigated in two federal agencies for possible violations of U.S. bribery laws by its operations in Saudi Arabia .,Telecommunications Saudi maker Lucent Technologies is being investigated by two federal agencies its possible violations of U.S. bribery laws in for operations in . Arabia gear
""" This sale is part of our efforts to simplify our Foodservice Products business and improve its cost structure , "" Multifoods chairman and chief executive officer Gary Costley said .",""" This sale is part of our efforts to simplify our Foodservice Products business and improve its cost structure , "" chairman and CEO Gary Costley said in a statement .",""" This sale Products part of our efforts to simplify our Foodservice is business and improve its cost structure , "" Multifoods chairman and chief executive officer Gary Costley said .",""" This part is sale of our efforts to simplify our Foodservice Products business and improve its cost structure , said Multifoods chairman and chief executive officer Gary Costley "" .","part "" sale is "" our of efforts to simplify our Foodservice Products business and improve its cost structure , This Multifoods chairman and chief executive officer Gary Costley said ."
A DOD team is working to determine how hackers gained access to the system and what needs to be done to fix the breach .,"A DoD team is on site to determine how this happened and what needs to be done to fix the breach , the release stated .",A DOD team is working to be how hackers gained access to the system and what needs to determine done to fix the breach .,A DOD team is working to determine breach hackers the access to gained system and what needs to be done to fix the how .,be DOD team is working how determine to hackers gained the to access system and what needs to A done to fix the breach .
"Parrado 's aunt believes her nephew , who has served a prison sentence in Cuba , will be persecuted if he is repatriated .","Maria Parrado believes her nephew , who served a 12-year prison sentence in Cuba after being arrested in Cuban waters , will be persecuted if he is sent back there .","Parrado has aunt believes her nephew , who 's served a prison sentence in Cuba , will be persecuted if he is repatriated .","Parrado 's aunt believes he nephew , who has Cuba a prison sentence in served , will be persecuted if her is repatriated .","Parrado 's aunt believes her nephew he who has served a , persecuted in Cuba prison will be sentence if , is repatriated ."
The Securities and Exchange Commission yesterday said companies trading on the biggest U.S. markets must win shareholder approval before granting stock options and other stock-based compensation plans to corporate executives .,Companies trading on the biggest stock markets must get shareholder approval before granting stock options and other equity compensation under rules cleared yesterday by the Securities and Exchange Commission .,The Securities and Exchange Commission yesterday said companies trading on the biggest U.S. and must win shareholder approval before granting stock options markets other stock-based compensation plans to corporate executives .,The Securities and Exchange shareholder plans said companies trading on the biggest U.S. markets must win Commission approval before granting stock options and other stock-based compensation yesterday to corporate executives .,The Securities and Exchange Commission yesterday must companies approval on the biggest U.S. markets granting win shareholder trading before said stock options and other stock-based compensation plans to corporate executives .
"Microsoft is preparing to alter its Internet Explorer browser , following a patent verdict that went against the company , Microsoft said Friday .","Microsoft Corp. is preparing changes to its Internet Explorer ( IE ) browser because of a patent verdict against it , the company said Friday .","against is preparing to alter its Internet Explorer browser , following a patent verdict that went Microsoft the company , Microsoft said Friday .","is Microsoft preparing to alter its Internet Explorer browser , following said patent verdict that went against the company , Microsoft a Friday .","Microsoft is preparing that alter its Internet Explorer . , following a patent verdict to went Microsoft the company , against said Friday browser"
""" It 's routine for IBM to challenge its internal IT teams to rigorously test new platforms and technologies inside IBM , "" she said .",""" It is routine for IBM to challenge its internal IT team to rigorously test new platforms and technology inside IBM . """,""" It 's routine for IBM to challenge its internal IT teams to rigorously test new platforms . technologies inside IBM , "" she said and",""" It 's routine for IBM to challenge its internal new teams to rigorously and IT platforms test technologies inside IBM , "" she said .",""" It 's routine for IT to challenge IBM internal its teams to rigorously test . platforms and technologies inside IBM , "" she said new"
"Nearly 6,000 MTA drivers and train operators joined the mechanics in the picket line .","Nearly 6,000 MTA drivers and train operators then walked off the job in solidarity .","Nearly 6,000 MTA drivers and train operators joined the mechanics the in picket line .","Nearly 6,000 MTA drivers . train operators the joined mechanics in the picket line and","Nearly joined MTA drivers and train operators in picket mechanics 6,000 the the line ."
"The Infineon case began in August 2000 , when Rambus accused Infineon of patent infringement and Infineon counter-sued Rambus for breach of contract and fraud .","At that time , Rambus accused Infineon of patent infringement and Infineon countersued Rambus for breach of contract and fraud .","The Infineon case began in August 2000 , when Rambus accused Infineon of patent infringement and Infineon counter-sued Rambus for breach and contract of fraud .","The Infineon case began contract counter-sued 2000 , when Rambus accused Infineon of patent infringement and Infineon August Rambus for breach of in and fraud .","The Infineon . began in August 2000 , Infineon Rambus fraud Infineon of patent infringement and when counter-sued Rambus for breach of contract and accused case"
Low-income earners would pay a 5 percent tax on both types of investment income .,Low-income earners would pay a 5 percent rate for both capital gains and corporate dividends .,Low-income earners would 5 a pay percent tax on both types of investment income .,Low-income earners would pay a 5 percent both on tax of types investment income .,types earners on pay a percent 5 tax would both Low-income of investment income .
""" The Princess ' marriage was not set up by force , "" said Vasile Ionescu , of the Roma Centre for public policies .","Vasile Ionescu , of the Roma Centre for public policies , said : "" The princess 's marriage was not set up by force .",""" The said ' marriage was not set up by force , "" Princess Vasile Ionescu , of the Roma Centre for public policies .",""" The Princess ' marriage was not set up by force , "" , Vasile Ionescu said of Centre Roma the for public policies .",""" The Princess of marriage was not ' up by force , "" said set Ionescu , Vasile the Roma Centre for public policies ."
"Hynix CEO E.J. Woo condemned the decision calling the ruling an "" outrageous act aimed at a hidden agenda . ""","Meanwhile , Hynix Semiconductors voiced strong criticism of the United States , calling its decision an "" outrageous tactic aimed at a hidden agenda . ""","Hynix CEO E.J. Woo condemned the decision calling the ruling . "" outrageous act aimed at a hidden agenda an ""","Hynix CEO E.J. Woo condemned the decision calling the "" an ruling outrageous act aimed at a "" agenda . hidden","Hynix CEO E.J. Woo ruling the decision calling the "" an condemned outrageous aimed act at a hidden agenda . """
"The U.S. Food and Drug Administration rejected ImClone 's original application in December 2001 , saying the trial had been sloppily conducted .","The Food and Drug Administration ultimately denied ImClone 's drug application in December 2001 , saying that an Erbitux clinical trial was deficient .","The U.S. Food and Drug Administration rejected ImClone 's original conducted in December 2001 , saying the trial had been sloppily application .","The U.S. ImClone and Drug Administration rejected Food 's original application in December 2001 , trial the saying had been sloppily conducted .","The U.S. trial and Drug the rejected ImClone 's original application in Administration 2001 , saying December Food had been sloppily conducted ."
Gen. Sattler heads a Combined Joint Task Force based on ship in the Gulf of Aden and the Indian Ocean .,General Sattler heads a Combined Joint Task Force aboard the command ship Mount Whitney .,Gen. Sattler heads on Combined Joint Task Force based a ship in the Gulf of Aden and the Indian Ocean .,Gen. Sattler heads a Combined Joint Task Force based of ship Gulf the in on Aden and the Indian Ocean .,Force Sattler heads a Task Joint in Gen. based on ship Combined the Gulf of Aden and the Indian Ocean .
"CAPPS II will not use bank records , records indicating creditworthiness or medical records . ""","CAPPS II will not use bank records , credit records , or medical records , according to Loy and Kelly .","CAPPS II will not use bank records , records records creditworthiness or medical indicating . ""","indicating II will not records bank records , use CAPPS creditworthiness or medical records . ""","CAPPS use will not II , records or records indicating creditworthiness bank medical records . """
Moore had no immediate comment Tuesday .,Moore did not have an immediate response Tuesday .,Moore had immediate no comment Tuesday .,comment . no immediate Moore Tuesday had,had Tuesday no immediate comment . Moore
""" Fewer than 10 "" FBI offices have conducted investigations involving visits to mosques , the Justice Department said .","In addition , the Justice Department said that the FBI has conducted ' ' fewer than 10 ' ' investigations involving visits to mosques .",""" Fewer than 10 "" FBI offices have conducted Department involving visits to mosques , the Justice investigations said .",""" Fewer than 10 "" FBI offices have conducted visits involving investigations to mosques , Department Justice the said .",""" Fewer than 10 Department FBI offices . conducted investigations involving visits to have , the Justice "" said mosques"
Moore of Alabama says he will appeal his case to the nation 's highest court .,Moore has said he plans to appeal the matter to the U.S. Supreme Court .,Moore of Alabama says appeal will he his case to the nation 's highest court .,. of Alabama says he will appeal his case Moore the nation 's highest court to,Moore 's Alabama says he will case his appeal of the nation to highest court .
""" We 're confident that the new leadership will take responsibility for the past actions of the Archdiocese of Boston , "" Lincoln said .",""" We are confident that the new leadership in Boston will be willing to take responsibility for the past actions of the archdiocese , ' said Lincoln . """,""" We 're confident that the new leadership will take responsibility for the "" actions of the Archdiocese of Boston , past Lincoln said .",". We 're confident that the new leadership will past responsibility for the take actions of the Archdiocese of Boston , "" Lincoln said """,""" We 're confident responsibility the new leadership will take that for the the of actions past Archdiocese of Boston , "" Lincoln said ."
Money from Iraqi oil sales will go into that fund which will be controlled by the United States and Britain and used to rebuild the country .,"Money from oil sales will now be deposited in a new Development Fund for Iraq , controlled by the United States and Britain and used to rebuild the country .",Money from Iraqi oil sales will go into that fund which will used controlled by the United States and Britain and be to rebuild the country .,country from Iraqi oil sales will go Britain that fund which will be controlled by the United States and into and used to rebuild the Money .,Iraqi from Money oil sales will go into to rebuild which will be controlled by the United States and Britain and used that fund the country .
"Car volume fell 8 per cent , while light truck sales -- which include vans , pickups and SUVs -- rose 2.7 per cent .","Car volume was down 8 percent , while light truck sales--which include vans , pickups and SUVs--rose 2.7 percent .","Car volume fell 8 per cent , while light truck sales -- which include vans , pickups and SUVs -- rose 2.7 per cent .","Car volume fell 8 per cent include while light truck sales and which , vans , pickups -- SUVs -- rose 2.7 per cent .","Car volume fell 8 per cent truck while light , sales -- which include vans , pickups 2.7 SUVs cent rose and per -- ."
"He said he had made it "" very plain "" to the US that Australia did not support the death penalty .","Mr Williams added that the Government had made it "" very plain "" to the US it did not support the death penalty for Hicks .","He said he had made it "" very plain "" to the US that Australia did not support death the penalty .","He said he had made it "" US plain "" to the very support Australia did not that the death penalty .","He that death had did it "" very plain "" to the US said Australia made not support the he penalty ."
"Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk , where his plane had made a refuelling stop .",Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk .,"Special police detained Khodorkovsky early on Saturday in the Novosibirsk city of Siberian , where his plane had made a refuelling stop .","Special police detained Khodorkovsky early . Saturday in the Siberian city of refuelling , where his plane had made a Novosibirsk stop on","Special police detained Khodorkovsky early Novosibirsk Saturday on the Siberian city of in refuelling where his plane had made a , stop ."
"Robert Stewart , a spokesman for Park Place , the parent company of Caesars Palace , said he was surprised by the court 's decision .","Robert Stewart , spokesman for Park Place Entertainment , the parent company for Caesars , said the Supreme Court seemed to change the rules for lawsuits .","he Stewart , a spokesman for Park Place , the parent company of Caesars Palace , said Robert was surprised by the court 's decision .","Robert Stewart , a spokesman for Park of , the parent company Place Caesars Palace , said he was surprised by the court 's decision .","Robert Stewart company a spokesman for Place Park , the parent , was Caesars Palace , said he of surprised by the court 's decision ."
Altria shares fell 2.2 percent or 96 cents to $ 42.72 and were the Dow 's biggest percentage loser .,"Its shares fell $ 9.61 to $ 50.26 , ranking as the NYSE 's most-active issue and its biggest percentage loser .",Altria shares fell 2.2 percent or $ cents to 96 42.72 and were the Dow 's biggest percentage loser .,Altria shares fell 2.2 percent or 96 the to $ 42.72 and were cents Dow 's . percentage loser biggest,Altria shares fell loser were or 96 to cents $ 42.72 and percent the Dow 's biggest percentage 2.2 .
Mascia-Frye works in the state development office .,Mascia-Frye oversees European operations for the West Virginia Development Office .,Mascia-Frye works in the state office development .,Mascia-Frye the in works office development state .,Mascia-Frye works . in development state office the
Representatives for Puretunes could not immediately be reached for comment Wednesday .,Puretunes representatives could not be located Thursday to comment on the suit .,Representatives for Puretunes could not immediately be Wednesday for comment reached .,Representatives Wednesday not could Puretunes immediately be reached for comment for .,Wednesday for Puretunes could for immediately be reached not comment Representatives .
"A key to that effort was the company 's introduction of a 10-year , 100,000-mile warranty , meant to reassure buyers that they could trust the Korean company .","Mr. O 'Neill had a solution : a 10-year , 100,000-mile warranty , meant to reassure buyers that they could trust Hyundai .","A key to that effort was , company 's introduction of a 10-year , 100,000-mile warranty the meant to reassure buyers that they could trust the Korean company .","A key to that effort was the company reassure introduction of a 10-year , 's warranty , meant to 100,000-mile buyers that they could trust the Korean company .","A key to trust effort was the warranty 's introduction of a 10-year , 100,000-mile company , meant to buyers reassure that they could that the Korean company ."
"The word Advent , from Latin , means "" the coming . ""","The season 's name comes from the Latin word adventus , which means "" coming . ""","The word Advent , from Latin , "" "" the coming . means","The word Advent means from Latin , , "" . coming the ""","The from Advent , word Latin , coming . the means "" """
"The companies said "" it was not our intention to target or offend any group or persons or to incite hatred or violence . """,""" In creating the game , it was not our intention to target or offend any group or persons or to incite hatred or violence against such groups persons . ""","The companies said "" it . not our intention to target or offend any group or persons or to incite hatred or violence was ""","target it said "" companies was not our intention to The or offend any group or persons or to incite hatred or violence . ""","The companies it "" said was not our intention to target or offend any incite or persons or to group hatred or violence "" ."
"Another brother , Ali Imron , was sentenced to life in prison after cooperating with investigators and showing remorse .","Another brother , Ali Imron , received a life sentence after he cooperated with the authorities and expressed remorse .","Another brother life Ali Imron , was sentenced to , in prison after cooperating with investigators and showing remorse .","showing brother , , Imron Ali was sentenced to life in prison after cooperating with investigators and Another remorse .","Another after , in Imron , was sentenced Ali life to prison brother cooperating with investigators and showing remorse ."
"Most times , wholesalers sold the questionable drugs to one of three huge national distributors that supply virtually all drugs in the country .","At one point in the chain , a wholesaler would sell the questionable drugs to one of three huge national companies that supply virtually all drugs in this country .","Most times , wholesalers sold the questionable drugs to one of three huge national distributors that the virtually all drugs in supply country .","Most times , wholesalers country the questionable drugs one to of three huge national distributors that supply virtually all drugs in the sold .","Most times , wholesalers sold country questionable drugs to one of three huge all in that supply virtually national drugs distributors the the ."
He said it was not possible to rule out that the chemical was a cancer risk to humans .,"However , it is not possible to say whether it may pose a cancer risk to humans .",He said the was not possible to rule out that it chemical was a cancer risk to humans .,cancer said rule was not possible to it out that the chemical was a He risk to humans .,He said was it not possible to to out risk the chemical was a cancer that rule humans .
The letter stated that a premature stillborn baby was placed on the bed in a blanket .,"According to the writer of the letter , the infant was "" placed on the bed in a baby blanket "" by a nurse .",The letter stated that a premature stillborn placed was baby on the bed in a blanket .,a letter stated that The premature blanket baby was placed on the bed in a stillborn .,The blanket stated that a premature stillborn the was placed on baby bed letter a in .
Galveston County District Attorney Kurt Sistrunk said his office received the recordings this week .,Galveston County District Attorney Kurt Sistrunk told Criss Wednesday his office only this week received the recordings .,Galveston County District this Kurt Sistrunk said his office received the recordings Attorney week .,Galveston County District Attorney this said Sistrunk his office received the recordings Kurt week .,Galveston the District Attorney this Sistrunk said his office received County recordings week Kurt .
""" This is a wide-ranging and continuing investigation which is likely to result in numerous other charges , "" Mr Spitzer said .",""" This is a widening and continuing investigation , which is likely to result in numerous other charges , "" Mr. Spitzer said yesterday at a news conference .",""" This is a continuing and wide-ranging investigation which is likely to result in numerous other charges , "" Mr Spitzer said .",""" This is a wide-ranging and continuing investigation which is likely other result in . to charges , "" Mr Spitzer said numerous",""" This is a wide-ranging and continuing investigation Spitzer is charges to result said numerous other likely , "" Mr which in ."
"Kyi , a U.N. envoy says , as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed .","JAPAN added to growing international pressure on Burma yesterday , threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi .",", Kyi a U.N. envoy says , as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed .","Kyi Kyi to U.N. envoy says , as Japan adds a growing international pressure by saying it will halt its hefty economic aid unless Suu , is freed .","U.N. , growing Kyi envoy says , as is adds to a international pressure by saying it will halt its hefty economic aid unless Suu Kyi Japan freed ."
"The decision could also prove useful in the "" war on terrorism "" .",Tuesday 's decision could prove useful to the government in the war on terrorism .,"The decision could the prove useful in also "" war on terrorism "" .","could decision The also prove useful in the "" war on terrorism . ""","The decision could the prove useful in war "" also on "" terrorism ."
"In the first stage of the attack , the Lovsan worm began fouling computers around the world .","The first stage of the malicious software began Monday , when the Lovsan worm began spreading around the world .","In the around stage of the attack , the Lovsan worm began fouling computers first the world .","In the . stage of the attack , fouling Lovsan worm began the computers around the world first","In the first the of the attack computers stage Lovsan worm began fouling , around . world the"
"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Canada would send a technical team to Washington to help .","U.S. Agriculture Secretary Ann Veneman send Tuesdays announced who ban , also said Washington would , a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also team Washington would send to technical to said Canada a help ."
The survey that found it covered only a narrow slice of the sky .,The survey which uncovered the star only covered a narrow slice of the sky .,The survey that slice it covered only a narrow found of the sky .,only survey that found it covered . a narrow slice of the sky The,only slice that found it covered The a narrow . of the sky survey
"However , the standards body warns that changes to Internet Explorer may affect a "" large number "" of existing Web sites .","Still , changes to IE "" may affect a large number of existing Web pages , "" according to the W3C 's notice .","However , the standards body warns that changes to Internet Explorer may . a "" large number "" of existing Web sites affect","However , the . body warns that affect to Internet Explorer may changes a "" large number "" of existing Web sites standards","However , the changes body warns that of to Internet Explorer may affect a "" large number "" Web existing standards sites ."
Both Blair and Bush have faced accusations that they manipulated intelligence about weapons of mass destruction to make the case for military action .,"At home , the premier has faced accusations that he overplayed intelligence about weapons of mass destruction to make the case for war .",Both Blair and Bush have faced accusations that they manipulated intelligence about destruction of mass weapons to make the case for military action .,Both . and Bush have faced accusations mass they manipulated intelligence about weapons of that destruction to make the case for military action Blair,Both Blair and Bush have faced accusations that they manipulated intelligence the weapons case mass destruction to make about of for action military .
""" I think 70 percent of the work is already done , "" Tauzin told reporters in the Capitol .",""" About 70 percent of the work is already done , "" Mr. Tauzin said .",""" I think 70 work of the percent is already done , "" Tauzin told reporters in the Capitol .",""" I think in percent of told work is already done , "" Tauzin the reporters 70 the Capitol .",""" "" think 70 percent of the work is already done told I Tauzin Capitol reporters in the , ."
""" We must defend those whom we dislike or even despise , "" said Neal R. Sonnett , a Miami lawyer who led an association panel on enemy combatants .",""" We must defend those whom we dislike or even despise , "" said Neal Sonnett , a Miami lawyer who headed an ABA task force on enemy combatants .",""" We must defend those whom we dislike or even despise , "" said Neal R. Sonnett , a Miami led who lawyer an association panel on enemy combatants .",""" We must defend those whom who dislike or even despise , R. said Neal "" Sonnett , a Miami lawyer we led an association panel on enemy combatants .",""" "" must defend those whom we dislike or even despise , We said Neal R. enemy , a Miami lawyer who led an association on panel Sonnett combatants ."
"Earlier , they had defied a police order and cried "" Allahu Akbar "" ( God is Greatest ) as Bashir walked to his seat in the tightly guarded courtroom .","Earlier , Bashir 's supporters had defied a police order and cried "" Allahu Akbar ( God is Greatest ) "" as he walked to his seat .","guarded , they had defied a police order and cried "" Allahu Akbar "" ( God is Greatest ) as Bashir walked to his seat in the tightly Earlier courtroom .","Earlier , they had defied a police order and courtroom "" Allahu Akbar "" ( God is Greatest ) as Bashir . to his seat in the tightly guarded cried walked","Earlier , they had defied a police order and cried "" Allahu Akbar seat ( God is Greatest ) as his courtroom to Bashir "" in the tightly guarded walked ."
"The announcement comes one day after Microsoft ’ s global security chief , Scott Charney , reiterated Microsoft ’ s promises to simplify the way it distributes patches to users .","The announcement comes one day after Scott Charney , Microsoft 's global security chief , reiterated Microsoft 's promises to simplify the way it distributes patches to customers .","The announcement comes one day after Microsoft ’ s global security chief , Scott Charney , reiterated Microsoft ’ s promises to simplify the patches it distributes way to users .","The announcement comes one day security Microsoft ’ s global after chief , Scott Charney , reiterated Microsoft ’ s the to simplify promises way it distributes patches to users .","promises announcement comes one day ’ The ’ s global security chief , Scott Charney , reiterated Microsoft after s Microsoft to simplify the way it distributes patches to users ."
"The fighting around Bunia began after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from the town .","The fighting begun May 7 after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from in an around Bunia .","The fighting around more began after neighboring Uganda completed the withdrawal of its Bunia than 6,000 soldiers from the town .","The from around soldiers began after neighboring Uganda completed the withdrawal of its more than 6,000 Bunia fighting the town .","than fighting around withdrawal began after neighboring Uganda completed more Bunia of its the The 6,000 soldiers from the town ."
"An officer in the People 's Liberation Army selected from a pool of 14 , Lt-Col Yang is the son of a teacher and an official at an agricultural firm .","A lieutenant colonel in the People 's Liberation Army , Yang is the son of a teacher and an official at an agricultural firm .","An officer in the People Army Liberation 's selected from a pool of 14 , Lt-Col Yang is the son of a teacher and an official at an agricultural firm .","An officer in the People 's Liberation Army Lt-Col of a pool of 14 , selected Yang is the son from a teacher and an official at an agricultural firm .","An officer in the People 's Liberation Army pool from a selected of 14 , Lt-Col Yang is the son of at teacher and an official a agricultural an firm ."
"A former candidate for governor of New York , he styled himself an advocate of better corporate governance .","Mr. McCall , who ran unsuccessfully for governor of New York in 2002 , styled himself an advocate of better corporate governance .","A former candidate for governor of New York , he styled himself an advocate corporate better of governance .","A himself candidate for governor of former York , he styled New an advocate of better corporate governance .","A styled candidate for governor of New himself of he former York an advocate , better corporate governance ."
"His decision means that the case against Gary Lee Sampson , including the capital charges against him , will be tried in September .","That means the case against Gary Lee Sampson , including the capital charges , will now to trial in September .","His , means that the case against Gary Lee Sampson , including the capital charges against him decision will be tried in September .","His decision means Gary the case against that Lee Sampson , including the tried charges against him , will be capital in September .","His decision means that the against case Gary tried Sampson , including the capital September against him , will be Lee in charges ."
"Meanwhile , rival contender , General Electric 's NBC , submitted a letter of interest , a source familiar with the matter said .","Other contenders included General Electric 's GE.N NBC , which submitted a letter of interest , a source familiar with the matter said .","Meanwhile , rival 's , General Electric contender NBC , submitted a letter of interest , a source familiar with the matter said .","submitted , rival contender , NBC Electric 's General , Meanwhile a letter of interest , a source familiar with the matter said .","Meanwhile , rival contender , General Electric 's NBC , . letter a of interest , a the familiar with source matter said submitted"
""" This deal makes sense for both companies , "" Brian Halla , National 's chief executive , said in a statement .",""" This deal makes good sense for both companies , "" said Brian L. Halla , National 's chairman , president and CEO .",""" This deal makes 's for both companies , "" Brian Halla , National sense chief executive , said in a statement .",""" This deal said sense for both , , "" Brian Halla companies National 's chief executive , makes in a statement .",""" This Brian makes sense chief both companies , "" deal in , National 's for executive , said Halla a statement ."
"The priest , the Rev. John F. Johnston , 64 , of 35th Avenue in Jackson Heights , was charged with aggravated harassment and criminal possession of a weapon .","The Rev. John Johnston , 64 , was charged with aggravated harassment in the phone call case and with criminal possession of a weapon , according to a police statement .","The priest , the Rev. John F. Johnston , 64 , of 35th Avenue possession Jackson Heights , was charged with aggravated harassment and criminal in of a weapon .","priest The , the Rev. John F. Johnston , 64 , of 35th Avenue in Jackson Heights , possession charged with aggravated harassment and criminal was of a weapon .","The priest , the Rev. John F. , , 64 Johnston of 35th Avenue in Jackson Heights and was charged with aggravated harassment , criminal of possession a weapon ."
""" Qualcomm has enjoyed many years of selling ... against little or no competition , "" Hubach said in the statement .",""" Qualcomm has enjoyed many years of selling CDMA chips against little or no competition , "" said TI General Counsel Joseph Hubach .",""" Qualcomm has enjoyed many years of selling ... against little or no competition , "" . said in the statement Hubach",""" Qualcomm has enjoyed or years of selling ... against little many no competition , the Hubach said in "" statement .",""" Qualcomm statement against many years of selling ... enjoyed no or little competition , "" Hubach said in the has ."
That state will not emerge until the interim government decides on a process for writing a new constitution and for holding the first democratic elections .,That state will not emerge until the interim government decides on a process to write a new constitution and to hold the first democratic elections .,That state will not emerge until the interim government decides on a process for writing a new for and constitution holding the first democratic elections .,That state elections not emerge interim the until government decides on a process for writing a new constitution and for holding the first democratic will .,That state will not emerge holding the interim government decides on a elections for writing for new constitution and a until the first democratic process .
Sendmail said the system can even be set up to permit business-only usage .,"The product can be instructed to permit business-only use , according to Sendmail .",Sendmail said the system can usage be set up to permit business-only even .,Sendmail set the system can even be said up permit to business-only usage .,Sendmail said the can system set be even up to permit . usage business-only
The telephone survey had a margin of error of 2 percentage points .,The poll conducted between Oct. 24 and Nov. 2 had a margin of error of 2 percentage points .,The telephone survey had a margin of 2 of error percentage points .,percentage telephone survey had a . of error of 2 The points margin,The telephone margin had a error of . of 2 percentage points survey
"Tonight , 21-year-old Morgan and as many as 1,200 fellow students at Wheaton College will gather in the gym for the first real dance in the school 's 143-year history .","As many as 1,200 students at Wheaton College will gather in the gym Friday night for the first real dance in the Christian school 's 143-year history .","Tonight , 21-year-old Morgan and as many as 1,200 fellow students at Wheaton College will gather in the gym for the first real school in the dance 's 143-year history .","Tonight at 21-year-old Morgan the as many as 1,200 fellow students , Wheaton College will gather in the gym for and first real dance in the school 's 143-year history .","students , 21-year-old many and . Morgan as 1,200 fellow Tonight at Wheaton College will gather in the gym for the first real dance in the school 's 143-year history as"
"Beckham will receive a yearly salary of $ 10 million plus bonuses , earning him about $ 220,000 a game .","Beckham will pocket a weekly salary of about $ 213,000 and earn $ 10 million a year , plus bonuses .","Beckham will receive a yearly salary of $ 10 million plus bonuses , $ him about earning 220,000 a game .","Beckham will receive 220,000 about salary of $ 10 million plus bonuses , earning him yearly $ a a game .","Beckham will receive a yearly salary of $ 10 220,000 plus bonuses , earning him about . a million game $"
""" We have sent a message to the nation that this is a new Louisiana , "" she told a victory party in New Orleans .",""" We have sent a new message out to the nation — that this is a new Louisiana . """,""" We have sent a message to the nation that this is a new she , "" Louisiana told a victory party in New Orleans .",""" We have sent a message to this nation that the is a new Louisiana , "" . told a victory party in New Orleans she",""" We have sent a Orleans to the nation that this is a new Louisiana , "" message told a victory party in New she ."
"It said the operation , which began on Monday , was part of "" the continued effort to eradicate Baath Party loyalists , paramilitary groups and other subversive elements . ""","A statement from the allied command said that the raid was part of "" the continued effort to eradicate Baath Party loyalists , paramilitary groups and other subversive elements . ""","It said the operation , elements began on Monday , was part of "" the continued effort to eradicate Baath Party loyalists , paramilitary groups and other subversive which . ""","It said the operation , which began on Monday , was and of "" the continued effort to eradicate Baath groups loyalists , paramilitary Party part other subversive elements . ""","It said the operation , which , on Monday , was part of "" the continued effort to eradicate Baath Party loyalists began paramilitary groups and other subversive elements . """
"Some 660 prisoners from 42 countries , including Canada , are held , many captured during the war against in Afghanistan the al-Qaida network .","Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay , many captured during the war against Al Qaeda in Afghanistan .","Some 660 prisoners from 42 countries , including Canada , are held , many captured network the war against in Afghanistan the al-Qaida during .",", 660 prisoners from 42 countries Some including Canada , are held , many network during the war against in Afghanistan the al-Qaida captured .","Some 660 prisoners from al-Qaida countries , including , , are held Canada many captured during the war against the Afghanistan in 42 network ."
